match_id,elapsed_time,MT,sets_ratio,game_ratio,score_ratio,pointswon_ratio,ue_game_ratio,npr_game_ratio,MT_end,SA,server_p1,ace_ratio,df_ratio,spead,SA_end,CPP,ue_ratio,npw_ratio,bpw_ratio,pt_victor,pt_winner,CPP_end,ST,distance_ratio,rally_count_normalized,ST_end
2023-wimbledon-1501,00:00:00,0,0.0,0.0,0.0,1.0,-0.0,0.0,0.5,0,0,0.0,0.0,0.43478260869565233,0.21739130434782616,0,-0.0,0.0,0.0,1,0,0.3333333333333333,0,-0.49550328606018684,-0.029411764705882353,-0.2624575253830346
2023-wimbledon-1501,00:00:54,0,0.0,0.0,1.0,0.5,-0.0,0.0,0.375,0,1,0.0,0.0,0.7971014492753623,0.8985507246376812,0,-0.0,0.0,0.0,0,0,0.0,0,-0.426040220890057,-0.11764705882352941,-0.2718436398567932
2023-wimbledon-1501,00:01:25,0,0.0,0.0,0.5,0.3333333333333333,-0.5,0.0,0.08333333333333331,0,0,0.0,0.0,0.43478260869565233,0.21739130434782616,0,-0.5,0.0,0.0,0,0,-0.16666666666666666,0,-0.4716254811871352,-0.058823529411764705,-0.26522450529944996
2023-wimbledon-1501,00:02:11,0,0.0,0.0,0.3333333333333333,0.5,-0.5,0.0,0.08333333333333331,0,1,0.0,0.0,0.7101449275362319,0.855072463768116,0,-0.5,0.0,0.0,1,1,0.5,0,-0.4435131610599749,-0.3235294117647059,-0.3835212864123404
2023-wimbledon-1501,00:02:55,0,0.0,0.0,0.5,0.4,-0.6666666666666666,0.0,0.05833333333333335,0,0,0.0,0.0,0.4782608695652175,0.23913043478260876,0,-0.6666666666666666,0.0,0.0,0,0,-0.16666666666666666,0,-0.40410037337280097,-0.1764705882352941,-0.29028548080404754
2023-wimbledon-1501,00:03:47,0,0.0,0.0,0.4,0.5,-0.6666666666666666,0.0,0.05833333333333335,0,1,0.0,0.0,0.8695652173913044,0.9347826086956522,0,-0.6666666666666666,0.0,0.0,1,0,0.11111111111111112,0,-0.3728188177415635,-0.029411764705882353,-0.20111529122372293
2023-wimbledon-1501,00:04:18,0,0.0,0.0,0.5,0.5714285714285714,-0.6666666666666666,0.0,0.10119047619047619,0,1,0.0,0.0,0.5942028985507246,0.7971014492753623,0,-0.6666666666666666,0.0,0.0,1,1,0.4444444444444445,0,-0.5415282969660089,-0.20588235294117646,-0.37370532495359265
2023-wimbledon-1501,00:04:59,0,0.0,0.0,0.5714285714285714,0.625,-0.5,0.0,0.17410714285714285,0,1,0.0,0.0,0.6666666666666667,0.8333333333333334,0,-0.5,0.0,0.0,1,0,0.16666666666666666,0,-0.50684778042291,-0.14705882352941177,-0.3269533019761609
2023-wimbledon-1501,00:06:19,0,0.0,1.0,0.0,0.5555555555555556,-1.0,0.0,0.1851851851851852,0,0,0.0,0.0,0.4782608695652175,0.23913043478260876,0,-1.0,0.0,0.0,0,0,-0.3333333333333333,0,-0.5618554181533799,-0.08823529411764705,-0.3250453561355135
2023-wimbledon-1501,00:06:53,0,0.0,1.0,0.0,0.6,-0.5,0.0,0.275,0,0,0.0,0.0,0.0,0.0,0,-0.5,0.0,0.0,1,0,0.16666666666666666,0,-0.4756523282645997,-0.0,-0.23782616413229984
