MT,sets_ratio,game_ratio,score_ratio,pointswon_ratio,ue_game_ratio,npr_game_ratio,MT_end,SA,server_p1,ace_ratio,df_ratio,spead,CPP,ue_ratio,npw_ratio,bpw_ratio,pt_victor,pt_winner,ST,distance_ratio,rally_count_normalized,ST_end
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0,0,0.0,0.0,0.3333333333333335,0,1.0,0.0,0.0,0,0,0,0.43352601156069365,0.058823529411764705,0.24617477048622918
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0,1,0.0,0.0,0.6666666666666667,0,1.0,0.0,0.0,1,0,0,0.4254474771199481,0.029411764705882353,0.22742962091291524
0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.611111111111111,0,1,0.0,0.0,0.6956521739130435,0,1.0,0.0,0.0,0,0,0,0.41061651987621994,0.11764705882352941,0.2641317893498747
0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.611111111111111,0,1,0.0,0.0,0.8405797101449275,0,1.0,0.0,0.0,1,1,0,0.403253931307648,0.38235294117647056,0.39280343624205927
0.0,0.0,0.0,0.5,0.6,1.0,0.0,0.7000000000000001,0,1,1.0,0.0,0.5797101449275364,0,1.0,0.0,0.0,1,1,0,0.4439124487004104,0.029411764705882353,0.23666210670314639
0.0,0.0,0.0,0.6,0.5,1.0,0.0,0.7000000000000001,0,0,1.0,0.0,0.3623188405797102,0,1.0,0.0,0.0,0,0,0,0.5546121593291405,0.058823529411764705,0.30671784437045263
0.0,0.0,0.0,0.5,0.5714285714285714,1.0,0.0,0.6904761904761904,0,1,1.0,0.0,0.536231884057971,0,1.0,0.0,0.0,1,1,0,0.27668641935222016,0.029411764705882353,0.15304909202905126
0.0,0.0,0.0,0.5714285714285714,0.5,1.0,0.0,0.5178571428571428,0,0,1.0,0.0,0.4782608695652175,0,1.0,0.0,0.0,0,0,0,0.492071970761878,0.1764705882352941,0.33427127949858604
0.0,0.0,0.0,0.5,0.5555555555555556,1.0,0.6666666666666666,0.6805555555555555,0,1,1.0,0.0,0.8115942028985508,0,1.0,1.0,0.0,1,0,0,0.5837381311037015,0.20588235294117646,0.394810242022439
0.0,0.0,0.0,0.5714285714285714,0.6,1.0,0.6666666666666666,0.7095238095238094,0,1,1.0,0.0,0.5507246376811594,0,1.0,0.0,0.0,1,0,0,0.4363774608524105,0.14705882352941177,0.29171814219091113
0.0,0.0,1.0,0.0,0.5454545454545454,0.0,0.0,0.7727272727272727,0,1,0.0,0.0,0.5797101449275364,0,0.0,0.0,0.0,0,0,0,0.5406542056074767,0.029411764705882353,0.2850329851566795
0.0,0.0,1.0,0.0,0.5833333333333334,0.0,0.0,0.5277777777777778,0,1,0.0,0.0,0.8405797101449275,0,0.0,0.0,0.0,1,0,0,0.5197430767610824,0.11764705882352941,0.31869506779230594
