MT,sets_ratio,game_ratio,score_ratio,pointswon_ratio,ue_game_ratio,npr_game_ratio,MT_end,SA,server_p1,ace_ratio,df_ratio,speed,CPP,ue_ratio,npw_ratio,bpw_ratio,pt_victor,ST,distance_ratio,rally_count,ST_end
,,,,0.0,1.0,,0,0,0,,,95.0,0,1.0,,,0,0,0.43352601156069365,2,0
,,,0.0,0.5,1.0,,0,0,1,,,118.0,0,1.0,,,0,0,0.4254474771199481,1,0
,,,0.5,0.3333333333333333,1.0,,0,0,1,,,120.0,0,1.0,,,0,0,0.41061651987621994,4,0
,,,0.3333333333333333,0.5,1.0,,0,0,1,,,130.0,0,1.0,,,1,0,0.403253931307648,13,0
,,,0.5,0.6,1.0,,0,0,1,1.0,,112.0,0,1.0,,,1,0,0.4439124487004104,1,0
,,,0.6,0.5,1.0,,0,0,0,1.0,,97.0,0,1.0,,,0,0,0.5546121593291405,2,0
,,,0.5,0.5714285714285714,1.0,,0,0,1,1.0,,109.0,0,1.0,,,1,0,0.27668641935222016,1,0
,,,0.5714285714285714,0.5,1.0,0.0,0,0,0,1.0,,105.0,0,1.0,0.0,,0,0,0.492071970761878,6,0
,,,0.5,0.5555555555555556,1.0,0.6666666666666666,0,0,1,1.0,,128.0,0,1.0,1.0,,0,0,0.5837381311037015,7,0
,,,0.5714285714285714,0.6,1.0,0.6666666666666666,0,0,1,1.0,,110.0,0,1.0,,,0,0,0.4363774608524105,5,0
,,1.0,,0.5454545454545454,,,0,0,1,0.0,,112.0,0,,,,0,0,0.5406542056074767,1,0
,,1.0,0.0,0.5833333333333334,,,0,0,1,0.0,,130.0,0,,,,0,0,0.5197430767610824,4,0
,,1.0,0.5,0.6153846153846154,0.0,,0,0,1,0.0,,120.0,0,0.0,,,0,0,0.5827415488698223,4,0
,,1.0,0.6666666666666666,0.5714285714285714,0.0,,0,0,1,0.0,,128.0,0,0.0,,,0,0,0.5999775015467687,3,0
,,1.0,0.5,0.5333333333333333,0.0,,0,0,1,0.0,,130.0,0,0.0,,,0,0,0.6030872959545777,1,0
,,1.0,0.4,0.5625,0.0,,0,0,0,0.0,,97.0,0,0.0,,,0,0,0.5516810658894556,2,0
,,1.0,0.5,0.5294117647058824,0.0,,0,0,1,0.0,,124.0,0,0.0,,,0,0,0.4881794489947878,1,0
