match_id,elapsed_time,MT,sets_ratio,game_ratio,score_ratio,ue_game_ratio,npr_game_ratio,MT_end,SA,server_p2,ace_ratio,df_ratio,spead,SA_end,CPP,ue_ratio,npw_ratio,bpw_ratio,pt_victor,pt_winner,CPP_end,ST,distance_ratio,rally_count_normalized,ST_end
2023-wimbledon-1311,00:00:00,0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,0.0,0.0,0,0,1,0,1,1,0.6,0,-0.07259524659560361,-0.0,-0.036297623297801805
2023-wimbledon-1311,00:00:41,0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0.0,0,-0.13672412913755294,-0.0,-0.06836206456877647
2023-wimbledon-1311,00:01:04,0,0.0,0.0,0.5,0.0,1.0,0.5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,-0.011794257153057583,-0.0,-0.0058971285765287915
2023-wimbledon-1311,00:01:33,0,0.0,0.0,0.3333333333333333,0.0,1.0,0.4444444444444444,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0.2,0,-0.19303055031366348,-0.0,-0.09651527515683174
2023-wimbledon-1311,00:02:17,0,0.0,0.0,0.5,0.0,1.0,0.5,0,0,0,0,0.0,0.0,0,0,1,0,1,1,0.6,0,-0.11504819707247411,-0.0,-0.05752409853623706
2023-wimbledon-1311,00:02:55,0,0.0,0.0,0.6,0.0,0.5,0.3666666666666667,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0.0,0,-0.09341051665221604,-0.0,-0.04670525832610802
2023-wimbledon-1311,00:03:22,0,0.0,0.0,0.5,-0.5,0.5,0.16666666666666666,0,1,0,0,0.0,0.3333333333333333,0,-1,0,0,0,0,-0.2,0,-0.17641021063905749,-0.0,-0.08820510531952874
2023-wimbledon-1311,00:03:55,0,0.0,0.0,0.42857142857142855,-0.5,0.5,0.14285714285714285,0,0,0,0,0.0,0.0,0,-1,0,0,1,0,0.0,0,-0.12533151425511296,-0.0,-0.06266575712755648
2023-wimbledon-1311,00:04:34,0,0.0,0.0,0.5,-0.5,0.5,0.16666666666666666,0,1,0,0,0.0,0.3333333333333333,0,-1,1,0,1,0,0.2,0,-0.180872902534809,-0.0,-0.0904364512674045
2023-wimbledon-1311,00:05:06,0,0.0,0.0,0.5714285714285714,-0.5,0.5,0.19047619047619047,0,0,0,0,0.0,0.0,0,-1,0,1,1,0,0.2,0,-0.1267914520324374,-0.0,-0.0633957260162187
2023-wimbledon-1311,00:06:53,0,0.0,1.0,0.0,-0.5,0.0,0.25,0,1,0,0,0.0,0.3333333333333333,0,-1,0,0,0,0,-0.2,0,-0.10027668689753659,-0.0,-0.050138343448768295
2023-wimbledon-1311,00:07:19,0,0.0,1.0,0.0,-1.0,0.0,0.0,0,1,0,0,0.0,0.3333333333333333,0,-2,0,0,0,0,-0.4,0,-0.05308053246289591,-0.0,-0.026540266231447954
2023-wimbledon-1311,00:07:44,0,0.0,1.0,0.0,-1.0,0.0,0.0,0,1,0,0,0.0,0.3333333333333333,0,-2,0,0,1,1,0.0,0,-0.0770260621206712,-0.0,-0.0385130310603356
2023-wimbledon-1311,00:08:13,0,0.0,1.0,0.3333333333333333,-1.0,1.0,0.3333333333333333,0,1,0,0,0.0,0.3333333333333333,0,-2,1,0,1,0,0.0,0,-0.10924669760799714,-0.0,-0.05462334880399857
2023-wimbledon-1311,00:08:43,0,0.0,1.0,0.5,-1.0,1.0,0.375,0,0,0,0,0.0,0.0,0,-2,0,0,0,0,-0.4,0,-0.034381853419697045,-0.0,-0.017190926709848522
2023-wimbledon-1311,00:09:25,0,0.0,1.0,0.4,-1.0,0.5,0.22499999999999998,0,1,0,0,0.0,0.3333333333333333,0,-2,0,0,0,0,-0.4,0,-0.2963928698934054,-0.0,-0.1481964349467027
2023-wimbledon-1311,00:10:17,0,0.0,0.5,0.0,0.0,0.0,0.25,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0.0,0,-0.048158820829295665,-0.0,-0.024079410414647832
2023-wimbledon-1311,00:10:41,0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0.0,0,-0.0,-0.0,0.0
2023-wimbledon-1311,00:10:59,0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,1,0,0.2,0,-0.18552685265466415,-0.0,-0.09276342632733207
2023-wimbledon-1311,00:11:42,0,0.0,0.5,0.3333333333333333,0.0,0.0,0.27777777777777773,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0.0,0,-0.10907456520630389,-0.0,-0.054537282603151944
2023-wimbledon-1311,00:12:06,0,0.0,0.5,0.25,0.0,0.0,0.25,0,1,0,0,0.0,0.3333333333333333,0,0,0,0,1,1,0.4,0,-0.24199903095833122,-0.0,-0.12099951547916561
