match_id,elapsed_time,MT,sets_ratio,game_ratio,score_ratio,ue_game_ratio,npr_game_ratio,MT_end,SA,server_p2,ace_ratio,df_ratio,spead,SA_end,CPP,ue_ratio,npw_ratio,bpw_ratio,pt_victor,pt_winner,CPP_end,ST,distance_ratio,rally_count_normalized,ST_end,Rate
2023-wimbledon-1316,00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.8794326241134752,0.4698581560283688,0,0,0,0,1,0,0.2,0,-0.0353381445402152,-0.0294117647058823,-0.0323749546230487,0.10204836285864856
2023-wimbledon-1316,00:00:35,0,0.0,0.0,1.0,0.0,0.0,0.5,0,1,0,0,0.8439716312056738,0.4609929078014184,0,0,0,0,1,0,0.2,0,-0.0276368133829754,-0.0294117647058823,-0.0285242890444289,0.36406707764034013
2023-wimbledon-1316,00:00:56,0,0.0,0.0,1.0,0.0,0.0,0.5,0,1,0,0,0.7801418439716312,0.4450354609929078,0,0,0,0,0,0,0.0,0,-0.0713903197837507,-0.0588235294117647,-0.0651069245977577,0.46763261634546444
2023-wimbledon-1316,00:01:24,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0,1,0,0,0.851063829787234,0.4627659574468085,0,0,0,0,1,1,0.4,0,-0.0540049472127301,-0.088235294117647,-0.0711201206651886,0.5338400776427763
2023-wimbledon-1316,00:01:48,0,0.0,0.0,0.75,0.0,0.0,0.375,0,1,0,0,0.7943262411347518,0.4485815602836879,0,0,0,0,1,0,0.2,0,-0.0217970622736777,-0.0294117647058823,-0.02560441348978,0.5880673473407689
2023-wimbledon-1316,00:02:35,0,0.0,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0.8794326241134752,0.4698581560283688,0,0,0,0,1,0,0.2,0,-0.4085084408629571,-0.4705882352941176,-0.4395483380785374,0.6905252158231933
2023-wimbledon-1316,00:03:18,0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0,0,0,0,0.6595744680851063,0.1648936170212765,0,0,0,0,1,0,0.2,0,-0.0990462589891365,-0.1176470588235294,-0.1083466589063329,1.0325339865410723
2023-wimbledon-1316,00:03:58,0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0,0,0,0,0.6808510638297872,0.1702127659574468,0,0,0,0,1,1,0.4,0,-0.1900532972917835,-0.2352941176470588,-0.2126737074694211,1.3293964253181807
2023-wimbledon-1316,00:04:42,0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0,0,0,0,0.6595744680851063,0.1648936170212765,0,0,0,0,0,0,0.0,0,-0.051212577140817,-0.088235294117647,-0.069723935629232,1.5902519201572425
2023-wimbledon-1316,00:05:19,0,0.0,1.0,0.75,0.0,0.0,0.5833333333333334,0,1,0,0,0.8226950354609929,0.4556737588652482,0,0,0,0,0,0,0.0,0,-0.0442125261386239,-0.0294117647058823,-0.0368121454222531,1.8608707092170156
2023-wimbledon-1316,00:05:43,0,0.0,1.0,0.6,-0.5,0.0,0.3666666666666667,0,0,0,0,0.6595744680851063,0.1648936170212765,0,-1,0,0,0,0,-0.2,0,-0.1715905033916458,-0.2058823529411764,-0.1887364281664111,1.8772287810651624
2023-wimbledon-1316,00:06:31,0,0.0,1.0,0.5,-1.0,0.0,0.1666666666666666,0,0,0,0,0.7021276595744681,0.175531914893617,0,-2,0,0,0,0,-0.4,0,-0.094972458815729,-0.1470588235294117,-0.1210156411725704,1.8913678632595177
2023-wimbledon-1316,00:07:08,0,0.0,1.0,0.4285714285714285,-1.0,0.0,0.1428571428571428,0,1,0,0,0.9148936170212766,0.4787234042553191,0,-2,0,0,0,0,-0.4,0,-0.0040164227061763,-0.0294117647058823,-0.0167140937060293,2.002233172105016
2023-wimbledon-1316,00:07:36,0,0.0,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0.6312056737588653,0.1578014184397163,0,0,1,0,1,0,0.4,0,-0.1298962105370531,-0.1470588235294117,-0.1384775170332324,2.2281008992079254
2023-wimbledon-1316,00:08:18,0,0.0,0.5,1.0,0.0,1.0,0.625,0,0,0,0,0.75177304964539,0.1879432624113475,0,0,0,0,1,0,0.2,0,-0.0314492273167746,-0.0294117647058823,-0.0304304960113284,2.392582812322997
2023-wimbledon-1316,00:09:00,0,0.0,0.5,1.0,0.0,1.0,0.625,0,0,0,0,0.7021276595744681,0.175531914893617,0,0,1,0,1,1,0.6,0,-0.0965790278981996,-0.1470588235294117,-0.1218189257138057,2.564349284254054
2023-wimbledon-1316,00:09:41,0,0.0,0.5,1.0,0.0,1.0,0.625,0,0,0,0,0.7163120567375887,0.1790780141843971,0,0,0,0,1,0,0.2,0,-0.0954697301983985,-0.1470588235294117,-0.1212642768639051,2.682670814162434
2023-wimbledon-1316,00:11:35,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,0.6737588652482269,0.1684397163120567,0,0,0,0,1,0,0.2,0,-0.211799357372367,-0.2352941176470588,-0.2235467375097129,2.728424214905065
2023-wimbledon-1316,00:12:16,0,0.0,0.6666666666666666,1.0,0.0,0.0,0.5555555555555555,0,1,0,0,0.8865248226950354,0.4716312056737588,0,0,0,0,0,0,0.0,0,-0.095603610955271,-0.0294117647058823,-0.0625076878305767,2.9465108484776583
2023-wimbledon-1316,00:12:38,0,0.0,0.6666666666666666,0.5,-0.5,0.0,0.2222222222222221,0,0,0,0,0.7304964539007093,0.1826241134751773,0,-1,0,0,0,0,-0.2,0,-0.0732200234610088,-0.088235294117647,-0.0807276587893279,2.8018727746782606
2023-wimbledon-1316,00:13:15,0,0.0,0.6666666666666666,0.3333333333333333,-0.5,0.0,0.1666666666666666,0,1,0,0,0.8368794326241135,0.4592198581560284,0,-1,0,0,1,0,0.0,0,-0.1128168511245983,-0.1176470588235294,-0.1152319549740638,2.803875964347303
2023-wimbledon-1316,00:13:42,0,0.0,0.6666666666666666,0.5,-0.5,0.0,0.2222222222222221,0,1,0,0,0.900709219858156,0.475177304964539,0,-1,0,0,0,0,-0.2,0,-0.0052341000663028,-0.0294117647058823,-0.0173229323860926,2.871646748770879
2023-wimbledon-1316,00:14:14,0,0.0,0.6666666666666666,0.4,-1.0,0.0,0.0222222222222222,0,0,0,0,0.6950354609929078,0.1737588652482269,0,-2,0,0,0,0,-0.4,0,-0.1153542102310399,-0.1470588235294117,-0.1312065168802258,2.706808551848979
2023-wimbledon-1316,00:15:02,0,0.0,0.5,0.0,0.0,0.0,0.25,0,1,0,0,0.8723404255319149,0.4680851063829787,0,0,0,0,1,0,0.2,0,-0.2385627581986025,-0.2647058823529412,-0.2516343202757718,2.89802181539029
2023-wimbledon-1316,00:15:40,0,0.0,0.5,1.0,0.0,1.0,0.625,0,1,0,0,0.851063829787234,0.4627659574468085,0,0,1,0,1,1,0.6,0,-0.1648327128066506,-0.1470588235294117,-0.1559457681680312,3.143267486280963
2023-wimbledon-1316,00:16:31,0,0.0,0.5,1.0,0.0,1.0,0.625,0,1,0,0,0.8865248226950354,0.4716312056737588,0,0,0,0,1,0,0.2,0,-0.0439192635283317,-0.0294117647058823,-0.036665514117107,3.262937553709008
2023-wimbledon-1316,00:16:51,0,0.0,0.5,1.0,0.0,1.0,0.625,0,0,0,0,0.6170212765957447,0.1542553191489361,0,0,0,0,0,0,0.0,0,-0.0543874636609374,-0.0588235294117647,-0.056605496536351,3.3140368581441955
2023-wimbledon-1316,00:17:30,0,0.0,0.5,0.75,0.0,1.0,0.5625,0,1,0,0,0.7872340425531915,0.4468085106382978,0,0,0,0,1,0,0.2,0,-0.0364346916917427,-0.0294117647058823,-0.0329232281988125,3.4738003795031447
2023-wimbledon-1316,00:19:14,0,0.0,0.6,0.0,0.0,0.0,0.3,0,1,0,0,0.8156028368794326,0.4539007092198581,0,0,0,0,0,0,0.0,0,-0.0663028510225939,-0.0294117647058823,-0.0478573078642381,3.4104047687802894
2023-wimbledon-1316,00:19:38,0,0.0,0.6,0.0,0.0,0.0,0.1999999999999999,0,0,0,0,0.6666666666666666,0.1666666666666666,0,0,0,0,1,0,0.2,0,-0.0685341969704697,-0.0588235294117647,-0.0636788631911172,3.3422182559569857
2023-wimbledon-1316,00:20:11,0,0.0,0.6,0.5,0.0,0.0,0.3666666666666667,0,1,0,0,0.8368794326241135,0.4592198581560284,0,0,0,0,0,0,0.0,0,-0.5504602947926761,-0.3235294117647059,-0.436994853278691,3.4661709554392255
